Accident_index,Year,Month,Day,Hour,Minute,District,Death_num,Injury_num,Climate,Light,Road_category,Speed_limit,Road_type,Accident_location,Pavement,Road_condition,Road_defect,Barrier,Sight_distance,Signal_type,Signal_action,Accident_type,Causing_factor,injury_degree,Main_injury,Protective_equipement,Action_status,Driving_qualifications,Driving_type,Drinking_situation,Impact_site,Run_away,Job,GPS_X,GPS_Y,License_num,ID_card,Car_type,Timestamp
11,2023,9,1,3,38,Dali,0,1,7,1,6,30,3,1,1,5,4,6,6,4,4,17,59,3,10,3,9,1,8,2,1,1,13,120.702829,24.098206,QNL-5115,Y128212175,B03,1693539480
12,2023,9,1,4,12,Nantun,0,0,7,,6,50,,,,,,,,,,,87,,,,,1,,1,,1,12,120.647501,24.133489,DYR-3832,G157118626,C03,1693541520
13,2023,9,1,6,14,Kamioka,0,0,7,,6,50,,,,,,,,,,,59,,,,,1,,9,,2,12,120.68612,24.250936,ADS-7230,E287514902,C03,1693548840
14,2023,9,1,6,24,Dali,0,0,7,,6,30,,,,,,,,,,17,49,,,,,1,,10,,1,13,120.736729,24.085683,SDZ-7983,W295682563,B03,1693549440
15,2023,9,1,6,37,Beitun,0,2,7,2,6,50,4,1,1,5,4,6,6,1,1,15,85,2,7,1,9,1,10,2,11,1,12,120.67375,24.186487,GKM-7507,X254864731,B12,1693550220
16,2023,9,1,6,47,Xinshe,0,0,7,3,6,40,13,9,1,5,4,6,6,4,4,17,86,,,,,,,,,1,,120.79677,24.213228,LLO-7507,Q160177240,C03,1693550820
17,2023,9,1,6,58,Dadu,0,2,7,2,6,50,13,9,1,5,4,6,6,4,4,17,76,3,10,3,15,1,8,2,8,1,12,120.580009,24.16854,QCR-318,D255846467,B03,1693551480
18,2023,9,1,6,59,Dongshi,0,1,7,3,6,50,5,9,1,5,4,6,6,4,4,17,20,2,9,1,5,7,21,2,14,1,12,120.829573,24.251686,AOA-543,V166549401,C03,1693551540
19,2023,9,1,7,0,Shalu,0,0,7,,6,60,,,,,,,,,,13,7,,,,,1,,2,,1,6,120.601999,24.249,VYE-6786,G130214915,C03,1693551600
20,2023,9,1,7,10,Nantun,0,2,7,1,6,50,3,2,1,5,4,6,6,4,4,12,76,3,10,5,13,1,8,2,2,1,13,120.643867,24.136569,XGG-8830,W125069065,C03,1693552200
21,2023,9,1,7,12,Dali,0,0,7,,6,60,,,,,,,,,,13,7,,,,,1,,2,,1,6,120.690058,24.100778,AYJ-316,I260139418,C03,1693552320
22,2023,9,1,7,13,Taiping,0,1,7,2,6,30,4,2,1,5,4,6,6,4,4,27,59,2,3,5,9,5,18,2,5,1,12,120.719311,24.12593,NEU-4541,B142361115,C03,1693552380
23,2023,9,1,7,17,Taiping,0,1,7,3,6,50,3,19,1,5,4,6,6,4,4,3,10,3,10,3,9,1,8,2,1,1,6,120.715305,24.127021,WED-9150,J132841611,B03,1693552620
24,2023,9,1,7,18,Wuri,0,0,7,,6,50,,,,,,,,,,,11,,,,,1,,2,,1,12,120.615627,24.113977,PPT-7604,Z286841592,B12,1693552680
25,2023,9,1,7,19,Longjing,0,0,7,,6,40,,,,,,,,,,,34,,,,,1,,11,,1,6,120.535938,24.206455,DCF-2603,C198265925,C03,1693552740
26,2023,9,1,7,21,West,0,1,7,3,6,50,5,1,1,5,4,6,6,2,1,16,48,3,10,1,6,7,21,2,14,1,4,120.668527,24.132092,FBK-7740,T248460265,C03,1693552860
27,2023,9,1,7,22,Beitun,0,2,7,2,6,50,4,1,1,5,4,6,6,2,1,17,11,2,9,1,5,3,19,2,12,1,12,120.669466,24.177235,MYF-1695,Q277535328,B03,1693552920
28,2023,9,1,7,25,Shalu,0,0,7,,6,60,,,,,,,,,,,82,,,,,1,,2,,1,6,120.580087,24.250066,AFB-6588,M210933970,B03,1693553100
29,2023,9,1,7,29,Beitun,0,1,7,2,6,15,4,1,1,5,4,6,6,4,4,15,20,3,10,3,9,1,8,2,4,1,12,120.680502,24.180582,WNF-3370,L273599039,C03,1693553340
30,2023,9,1,7,30,Wuqi,0,1,7,2,6,50,4,1,1,5,4,6,6,1,1,16,20,2,9,1,6,1,10,2,14,1,6,120.530185,24.253795,SJB-249,A267967638,B03,1693553400
31,2023,9,1,7,31,Dali,0,0,7,,6,50,,,,,,,,,,,62,,,,,1,,2,,1,12,120.694903,24.101542,RGR-3655,N182620694,B03,1693553460
32,2023,9,1,7,35,Xitun,0,0,7,,6,50,,,,,,,,,,13,7,,,,,1,,1,,1,13,120.653327,24.167679,KZT-8839,P267872678,B03,1693553700
33,2023,9,1,7,36,Shalu,0,0,7,,6,40,,,,,,,,,,,50,,,,,1,,2,,1,6,120.564466,24.238093,SCD-8302,M252306596,B03,1693553760
34,2023,9,1,7,36,Dongshi,0,0,7,3,6,40,11,9,1,5,4,6,6,4,4,11,41,,,,,3,,2,,1,12,120.772058,24.314639,IQN-7347,K255733178,C03,1693553760
35,2023,9,1,7,39,Tanzi,0,0,7,,6,50,,,,,,,,,,,82,,,,,1,,2,,1,13,120.704538,24.20096,VZZ-4302,Q276628764,B03,1693553940
36,2023,9,1,7,40,Qingshui,0,2,7,3,6,50,4,1,1,5,4,6,6,3,2,16,14,2,3,1,6,1,10,2,12,1,12,120.57195,24.261063,IKI-738,L290977134,C04,1693554000
37,2023,9,1,7,40,Shigang,0,0,7,3,6,50,3,9,1,5,4,6,6,4,4,13,7,,,,,1,,2,,1,12,120.777146,24.276393,GZJ-9388,C186577736,C03,1693554000
38,2023,9,1,7,43,Tanzi,0,0,7,,6,60,,,,,,,,,,,7,,,,,1,,2,,1,13,120.702701,24.195618,CEL-5412,M266676529,B03,1693554180
39,2023,9,1,7,43,Beitun,0,0,7,2,6,50,11,8,1,5,4,6,6,4,4,11,7,,,,,1,,1,,1,12,120.724381,24.181111,GQG-5203,X238989075,C03,1693554180
40,2023,9,1,7,43,Beitun,0,0,7,,6,50,,,,,,,,,,13,7,,,,,1,,1,,1,13,120.711483,24.180869,SKW-1109,N141501105,C03,1693554180
41,2023,9,1,7,45,East,0,2,7,2,6,50,4,1,1,5,4,6,6,1,1,17,5,2,9,1,9,1,10,2,12,1,13,120.699906,24.142791,WWD-1797,B185290070,B03,1693554300
42,2023,9,1,7,46,Dali,0,0,7,,6,30,,,,,,,,,,13,56,,,,,1,,2,,1,12,120.682144,24.105296,NQG-5900,U274484298,C03,1693554360
43,2023,9,1,7,47,Taiping,0,4,7,2,6,30,11,9,1,5,4,6,6,4,4,11,41,2,3,1,9,1,10,2,11,1,12,120.725954,24.149503,LOS-1197,E275898590,B03,1693554420
44,2023,9,1,7,48,Tanzi,0,2,7,3,6,60,3,1,1,5,4,6,6,1,1,17,21,2,9,2,9,1,10,2,12,1,13,120.707124,24.224066,VFA-2148,M291436220,C03,1693554480
45,2023,9,1,7,48,Dali,0,0,7,,6,60,,,,,,,,,,,59,,,,,1,,2,,1,12,120.67741,24.086567,GOG-6561,N130294822,C03,1693554480
46,2023,9,1,7,48,Taiping,0,0,7,,6,30,,,,,,,,,,16,15,,,,,1,,2,,1,6,120.710171,24.113167,BWY-2648,D292134230,C03,1693554480
47,2023,9,1,7,49,Beitun,0,0,7,,6,50,,,,,,,,,,,8,,,,,1,,1,,1,13,120.715377,24.160324,GFQ-2530,U211224070,B03,1693554540
48,2023,9,1,7,50,Daya,0,0,7,,6,30,,,,,,,,,,14,49,,,,,1,,1,,1,12,120.642296,24.217715,POC-9560,O190684028,C03,1693554600
49,2023,9,1,7,50,Xitun,0,1,7,2,6,50,4,1,1,5,4,6,6,1,1,16,11,3,10,3,6,1,4,2,1,1,12,120.617001,24.188664,WPO-7873,J211785116,B03,1693554600
50,2023,9,1,7,50,Kamioka,0,2,7,1,6,30,3,1,1,5,4,6,6,4,4,17,84,2,9,1,6,1,10,2,11,1,6,120.696996,24.256947,FVJ-4911,D212383563,B12,1693554600
51,2023,9,1,7,52,Wuqi,0,1,7,2,6,60,3,1,1,5,4,6,6,3,3,16,47,3,10,3,5,1,8,2,2,1,6,120.525631,24.225621,OXD-9487,S152234306,B03,1693554720
52,2023,9,1,8,2,Dali,0,4,7,2,6,50,8,8,1,5,4,6,6,4,4,13,7,2,9,1,9,3,19,2,11,1,12,120.689649,24.093326,OSB-1869,J118349632,C03,1693555320
53,2023,9,1,8,5,Dali,0,1,7,3,6,50,13,9,1,5,4,6,6,4,4,17,68,3,10,1,9,1,10,2,13,1,12,120.689431,24.11721,FGL-4728,Y217118996,C04,1693555500
54,2023,9,1,8,10,North,0,0,7,,6,30,,,,,,,,,,14,49,,,,,1,,2,,1,12,120.665774,24.15459,SRQ-4666,F134551684,B03,1693555800
55,2023,9,1,8,10,Wuri,0,2,7,2,6,30,11,9,1,5,4,6,6,4,4,16,20,3,10,3,6,1,8,2,8,1,12,120.645427,24.096302,UIB-3850,V292218699,C03,1693555800
56,2023,9,1,8,11,South,0,0,7,,6,50,,,,,,,,,,,8,,,,,1,,2,,1,12,120.661091,24.120679,WPQ-4989,Y276233511,B03,1693555860
57,2023,9,1,8,14,Waipu,0,0,7,2,6,30,13,9,1,5,4,6,6,4,4,17,59,3,10,3,9,3,8,2,2,1,12,120.698718,24.347149,IQX-2476,B124617050,B12,1693556040
58,2023,9,1,8,15,Longjing,0,1,6,2,6,50,13,9,1,5,4,6,6,4,4,12,84,2,1,3,9,1,8,2,1,1,12,120.549474,24.208298,BSP-5286,F155692417,B03,1693556100
59,2023,9,1,8,17,Fengyuan,0,1,7,2,6,40,13,9,1,5,4,6,6,1,1,17,76,3,10,5,14,1,8,2,2,1,12,120.745354,24.255116,SUC-3046,U272773987,B03,1693556220
60,2023,9,1,8,18,South,0,1,7,2,6,50,13,7,1,5,4,6,6,4,4,13,7,2,7,2,9,1,10,2,11,1,6,120.670201,24.116913,DVL-2865,U133650123,A11,1693556280
61,2023,9,1,8,19,Kamioka,0,1,7,3,6,30,3,2,1,4,4,6,6,4,4,17,7,2,9,5,9,1,10,2,14,1,12,120.689138,24.250033,JBJ-1727,E231920273,C03,1693556340
62,2023,9,1,8,20,North,0,0,7,,6,50,,,,,,,,,,17,34,,,,,1,,1,,1,13,120.676489,24.159195,EOT-7664,W223380885,B03,1693556400
63,2023,9,1,8,20,Taiping,0,2,7,2,6,50,3,2,1,5,4,6,6,4,4,16,51,2,9,1,1,3,19,2,14,1,12,120.714574,24.126547,QYN-9052,P145680831,C03,1693556400
64,2023,9,1,8,23,Kamioka,0,0,7,,6,50,,,,,,,,,,17,84,,,,,1,,2,,1,6,120.684161,24.246487,LAI-8994,S155967061,C03,1693556580
65,2023,9,1,8,24,Tanzi,0,1,7,2,6,30,3,1,1,5,4,6,6,4,4,16,14,2,9,2,6,1,10,2,11,1,13,120.731313,24.215162,NBW-6660,S245787533,B12,1693556640
66,2023,9,1,8,24,Central,0,0,7,,6,50,,,,,,,,,,,84,,,,,1,,1,,1,12,120.682212,24.135899,VTA-8896,Q154038277,B03,1693556640
67,2023,9,1,8,26,Xitun,0,0,7,,6,30,,,,,,,,,,,49,,,,,1,,2,,1,13,120.634005,24.179341,GNE-8076,U166507552,B03,1693556760
68,2023,9,1,8,29,Kamioka,0,0,7,,6,50,,,,,,,,,,,49,,,,,6,,2,,1,12,120.678277,24.249626,EYO-9005,K258829234,B02,1693556940
69,2023,9,1,8,30,Beitun,0,0,7,,6,50,,,,,,,,,,,7,,,,,1,,1,,1,12,120.693087,24.163482,ZCJ-1245,G151703015,B03,1693557000
70,2023,9,1,8,30,Xitun,0,1,7,3,6,40,13,18,1,5,4,6,6,4,4,13,7,3,10,3,9,1,8,1,1,1,12,120.634242,24.175274,KNU-551,U187133924,B03,1693557000
71,2023,9,1,8,34,Wuqi,0,1,7,2,6,50,13,9,1,5,4,6,6,4,4,16,39,3,10,1,6,1,10,2,11,1,6,120.53443,24.261325,HFM-5332,P157841541,B03,1693557240
72,2023,9,1,8,36,Xitun,0,0,7,,6,80,,,,,,,,,,,8,,,,,1,,1,,1,12,120.633084,24.17237,JWT-9468,K263493974,B03,1693557360
73,2023,9,1,8,38,Qingshui,0,0,7,,6,50,,,,,,,,,,,7,,,,,1,,1,,1,12,120.568088,24.271741,ZIK-1847,B135504547,C03,1693557480
74,2023,9,1,8,39,Nantun,0,0,7,3,6,50,13,8,1,5,4,6,6,4,4,13,7,,,,,1,,1,,1,12,120.585375,24.166733,JED-5105,Y118446611,C03,1693557540
75,2023,9,1,8,44,Kamioka,0,1,7,1,6,50,3,1,1,5,4,6,6,4,4,17,45,3,10,3,11,1,8,2,4,1,6,120.67663,24.235014,GQA-2897,D270532984,C03,1693557840
76,2023,9,1,8,45,North,0,2,7,1,6,50,13,9,1,5,4,6,6,4,4,11,39,2,9,5,9,1,10,2,14,1,13,120.697438,24.156511,WPO-3061,T248592897,,1693557900
77,2023,9,1,8,53,Beitun,0,2,7,3,6,50,3,1,1,5,4,6,6,4,4,16,14,2,9,5,6,1,10,2,11,1,13,120.689293,24.177008,DOR-5243,B294109131,B03,1693558380
78,2023,9,1,8,56,Nantun,0,1,7,3,6,40,3,1,1,5,4,6,6,4,4,17,84,3,10,5,5,1,8,2,16,1,13,120.638444,24.15135,HPF-8272,E237191022,C03,1693558560
79,2023,9,1,9,1,Taiping,0,0,7,2,6,40,,,,,,,,,,,7,,,,,1,,2,11,1,12,120.716845,24.131586,XFP-5733,T155370277,C03,1693558860
80,2023,9,1,9,6,North,0,0,7,,6,50,,,,,,,,,,17,84,,,,,1,,1,,1,13,120.693817,24.157646,BFU-1855,X137374198,C03,1693559160
81,2023,9,1,9,7,East,0,1,7,2,6,50,13,9,1,5,4,6,6,4,4,17,51,3,10,3,1,1,8,2,4,1,6,120.686366,24.131705,UPO-7537,T274563497,C03,1693559220
82,2023,9,1,9,12,Fengyuan,0,1,7,2,6,30,13,9,1,5,4,6,6,4,4,17,54,2,3,1,9,1,10,9,11,1,13,120.745574,24.274479,BJL-316,N166458700,C03,1693559520
83,2023,9,1,9,15,Daya,0,0,7,,6,30,,,,,,,,,,12,76,3,10,5,9,1,1,2,3,1,12,120.635891,24.206387,GWJ-7432,O126913281,B12,1693559700
84,2023,9,1,9,15,Shalu,0,0,7,,6,50,,,,,,,,,,,12,,,,,1,,2,,1,6,120.562707,24.24322,SDM-1064,S213340450,C03,1693559700
85,2023,9,1,9,29,West,0,1,7,2,6,50,13,9,1,5,4,6,6,4,4,16,45,2,7,1,11,5,19,2,11,1,12,120.659321,24.147708,FYZ-1622,I111216232,B03,1693560540
86,2023,9,1,9,31,West,0,2,7,2,6,50,3,1,1,5,4,6,6,4,4,17,11,2,9,1,9,1,10,2,12,1,12,120.675301,24.141665,RCB-8092,E270769243,B12,1693560660
87,2023,9,1,9,34,Wuqi,0,2,7,2,6,50,13,9,1,5,4,6,6,4,4,16,59,2,9,1,9,1,10,2,11,1,6,120.540815,24.256015,IHK-7242,H113800275,B03,1693560840
88,2023,9,1,9,35,Taiping,0,2,7,3,6,50,13,7,1,5,4,6,6,4,4,12,51,2,9,1,1,1,10,2,14,1,6,120.72457,24.117287,IIV-5185,V170537085,B03,1693560900
89,2023,9,1,9,42,North,0,2,7,2,6,40,4,1,1,5,4,6,6,1,1,16,48,2,9,1,6,3,19,2,14,1,12,120.680948,24.159108,ZPS-7720,S224541619,B03,1693561320
90,2023,9,1,9,42,Xitun,0,0,7,,6,50,,,,,,,,,,,78,,,,,1,,1,,1,13,120.656758,24.169442,VVU-5634,T162545848,B03,1693561320
91,2023,9,1,9,44,Xitun,0,1,7,2,6,50,13,9,1,5,4,6,6,4,4,18,54,2,9,2,9,1,10,7,15,1,6,120.615711,24.189477,YOR-998,Z141917597,F03,1693561440
92,2023,9,1,9,46,Wuqi,0,3,7,2,6,70,4,1,1,5,4,6,6,1,1,16,36,2,9,1,6,1,10,2,12,1,12,120.53675,24.249928,JAR-727,T177157535,H01,1693561560
93,2023,9,1,9,50,Houli,0,0,7,2,6,30,13,9,1,5,4,6,6,4,4,17,51,3,10,3,7,1,8,2,5,1,12,120.741797,24.332331,ETT-9766,N197154688,C03,1693561800
94,2023,9,1,9,56,Nantun,0,1,7,3,6,50,4,1,1,5,4,6,6,4,4,16,14,2,9,5,5,3,19,2,14,1,12,120.640452,24.136077,VEU-8049,P162702922,C03,1693562160
95,2023,9,1,9,57,Beitun,0,0,7,,6,50,,,,,,,,,,,39,,,,,1,,1,,1,12,120.692064,24.182714,NOP-8351,T244458331,B03,1693562220
96,2023,9,1,10,1,Xitun,0,0,7,,6,30,,,,,,,,,,12,51,,,,,1,,1,,1,13,120.637883,24.172571,EXS-7728,I296652546,B01,1693562460
97,2023,9,1,10,1,Wuri,0,0,7,,6,60,,,,,,,,,,,59,,,,,1,,2,,1,12,120.647333,24.062495,KSX-5069,R276138315,B03,1693562460
98,2023,9,1,10,4,Xinshe,0,0,7,,6,50,,,,,,,,,,11,43,,,,,1,,2,,1,13,120.811654,24.190177,QAG-1344,P299590955,B12,1693562640
99,2023,9,1,10,9,Wufeng,0,0,7,,6,60,,,,,,,,,,,40,,,,,1,,2,,1,12,120.695526,24.058685,ECB-208,L270371954,C03,1693562940
100,2023,9,1,10,10,Dali,0,0,7,2,6,30,3,1,1,5,4,6,6,4,4,16,14,,,,,1,,1,,1,12,120.700683,24.087064,EVF-6335,Z280180774,C03,1693563000
101,2023,9,1,10,18,South,0,1,7,2,6,50,13,7,1,5,4,6,6,4,4,13,84,2,9,1,9,1,10,2,11,1,13,120.67576,24.131219,CAD-1594,Q147845855,B03,1693563480
102,2023,9,1,10,20,North,0,0,7,,6,30,,,,,,,,,,14,49,,,,,1,,2,,1,13,120.682963,24.158029,HRL-4866,K189076533,B03,1693563600
103,2023,9,1,10,20,South,0,0,7,,6,50,,,,,,,,,,,87,,,,,1,,9,,1,12,120.677033,24.130659,SSD-177,S252656224,C03,1693563600
104,2023,9,1,10,22,North,0,1,7,2,6,50,13,9,1,5,4,6,6,4,4,16,34,3,10,3,6,1,8,2,2,1,13,120.681486,24.167306,LTS-5164,K219491961,C03,1693563720
105,2023,9,1,10,22,Taiping,0,1,7,2,6,30,3,2,1,5,4,6,6,4,4,18,84,2,7,1,5,1,10,2,14,1,12,120.717854,24.140454,ERP-3693,R113942588,B03,1693563720
106,2023,9,1,10,23,Beitun,0,0,7,,6,30,,,,,,,,,,,50,,,,,1,,2,,1,13,120.682215,24.192052,DXU-2665,R131413021,C03,1693563780
107,2023,9,1,10,23,Kamioka,0,1,7,1,6,50,13,8,1,5,4,6,6,4,4,17,20,3,10,3,5,1,8,2,2,1,6,120.677922,24.24978,UEV-8070,W152604468,,1693563780
108,2023,9,1,10,26,Xitun,0,0,7,,6,50,,,,,,,,,,,84,,,,,1,,1,,1,13,120.656262,24.169921,NMA-2737,Z174352733,B02,1693563960
109,2023,9,1,10,29,North,0,0,7,,6,50,,,,,,,,,,9,59,,,,,1,,1,,1,12,120.686649,24.155888,LUZ-5465,H170604364,B03,1693564140
110,2023,9,1,10,30,North,0,0,7,,6,50,,,,,,,,,,17,84,,,,,1,,2,,1,13,120.667695,24.169728,ZPF-5201,J124147374,C03,1693564200
111,2023,9,1,10,30,Taiping,0,1,7,3,6,50,4,1,1,5,4,6,6,3,1,16,58,3,10,3,6,1,8,2,8,1,6,120.718321,24.131553,ZIZ-1889,Q137939035,B03,1693564200
112,2023,9,1,10,31,South,0,0,7,,6,50,,,,,,,,,,17,51,,,,,1,,9,,1,6,120.652408,24.113134,PBP-9417,P261797625,B03,1693564260
113,2023,9,1,10,35,Beitun,0,1,6,2,6,50,4,2,1,5,4,6,6,2,1,17,51,2,9,1,1,1,8,2,14,1,12,120.688004,24.174274,XOM-7491,N276372639,B03,1693564500
114,2023,9,1,10,39,Xitun,0,0,7,,6,50,,,,,,,,,,,84,,,,,1,,2,,1,12,120.634845,24.160867,QGG-2853,J255099743,B03,1693564740
115,2023,9,1,10,43,Dali,0,1,7,3,6,30,3,2,1,5,4,6,6,4,4,17,14,3,10,3,5,1,8,2,7,1,12,120.719549,24.098045,EXZ-2928,M270494888,F03,1693564980
116,2023,9,1,10,51,Houli,0,1,7,2,6,50,13,9,1,5,4,6,6,4,4,16,20,3,10,3,5,1,8,2,6,1,6,120.708746,24.310858,YLP-4662,E271060318,C03,1693565460
117,2023,9,1,10,53,Beitun,0,1,7,2,6,50,13,7,1,5,4,6,6,4,4,13,51,2,9,1,1,1,10,2,13,1,12,120.694905,24.176635,LMV-1817,F113222710,C03,1693565580
118,2023,9,1,10,55,Dali,0,1,7,2,6,50,3,19,1,5,4,6,6,3,1,3,48,3,10,3,6,1,8,2,8,1,12,120.679611,24.095471,TSX-8057,R126989963,B03,1693565700
119,2023,9,1,10,57,Xitun,0,0,7,,6,40,,,,,,,,,,,84,,,,,1,,1,,1,12,120.632872,24.204597,UBY-4264,W139071682,B03,1693565820
120,2023,9,1,10,58,Xitun,0,1,7,3,6,50,4,2,1,5,4,6,6,1,1,12,87,3,10,3,9,1,8,2,5,1,13,120.637112,24.179273,EER-7562,D122670729,B03,1693565880
121,2023,9,1,10,59,Taiping,0,1,7,2,6,50,13,9,1,5,4,6,6,4,4,13,7,3,10,3,9,1,8,2,5,1,12,120.728133,24.114533,QLK-2684,N265088078,C03,1693565940
122,2023,9,1,11,0,Nantun,0,0,7,,6,50,,,,,,,,,,,84,,,,,1,,9,,1,13,120.650543,24.15395,LQD-253,I220590382,B12,1693566000
123,2023,9,1,11,0,Beitun,0,0,7,,6,50,,,,,,,,,,9,51,,,,,1,,2,,1,13,120.691713,24.164976,QAR-7479,B131128609,C03,1693566000
124,2023,9,1,11,0,Xitun,0,0,7,,6,50,,,,,,,,,,13,84,,,,,1,,2,,1,13,120.610145,24.187037,XOU-5318,R284768621,B03,1693566000
125,2023,9,1,11,1,Nantun,0,2,7,1,6,50,3,1,1,5,4,6,6,4,4,12,51,2,9,5,9,1,10,2,11,1,13,120.627909,24.119275,TUF-1535,X223176872,C03,1693566060
126,2023,9,1,11,3,Longjing,0,0,7,,6,30,,,,,,,,,,,59,,,,,1,,2,,1,6,120.523287,24.203096,UDO-3614,L213251391,B03,1693566180
127,2023,9,1,11,4,North,0,0,7,,6,50,,,,,,,,,,9,84,,,,,1,,1,,1,12,120.676233,24.158299,WCA-9045,E191832037,C03,1693566240
128,2023,9,1,11,5,East,0,0,7,3,6,50,3,2,1,5,4,6,6,1,1,17,45,3,10,3,11,1,8,2,5,1,6,120.684947,24.13522,CAQ-5195,H174888534,A41,1693566300
129,2023,9,1,11,7,Taiping,0,2,7,3,6,50,4,1,1,5,4,6,6,1,1,15,21,2,9,1,9,1,10,2,11,1,6,120.715362,24.151987,XJV-6868,S210499452,B01,1693566420
130,2023,9,1,11,8,Nantun,0,0,7,,6,50,,,,,,,,,,12,35,,,,,1,,11,,1,6,120.637863,24.14234,YRQ-5612,J169004695,B03,1693566480
131,2023,9,1,11,11,Dongshi,0,1,7,3,6,60,3,9,1,5,4,6,6,4,4,17,14,2,9,1,6,1,10,2,14,1,13,120.810892,24.281565,AAB-9778,F193443391,B03,1693566660
132,2023,9,1,11,11,Fengyuan,0,2,7,3,6,50,4,2,1,5,4,6,6,1,1,17,55,2,9,3,15,1,8,2,4,1,12,120.735912,24.260557,IUX-1416,M198125903,B12,1693566660
133,2023,9,1,11,14,Qingshui,0,1,7,2,6,50,14,9,1,5,4,6,6,4,4,17,76,3,10,3,14,1,8,2,2,1,12,120.575053,24.26886,ATQ-2148,K163951506,B03,1693566840
134,2023,9,1,11,16,Beitun,0,1,6,2,6,50,5,1,1,5,4,6,6,2,1,15,21,3,10,1,9,1,10,2,12,1,12,120.69041,24.170262,KDC-7593,T188049836,C03,1693566960
135,2023,9,1,11,19,West,0,1,7,3,6,50,4,1,1,5,4,6,6,4,4,15,15,2,9,6,9,7,21,2,11,1,6,120.669581,24.142755,GVX-8693,N276756630,A41,1693567140
136,2023,9,1,11,20,Nantun,0,1,7,3,6,50,3,1,1,5,4,6,6,1,1,16,11,3,10,3,6,1,8,2,1,1,12,120.649827,24.148829,FCR-5860,W225412545,C03,1693567200
137,2023,9,1,11,20,Shalu,0,0,7,,6,40,,,,,,,,,,14,49,,,,,1,,1,,1,6,120.562117,24.245794,KQU-3866,O175184193,C03,1693567200
138,2023,9,1,11,25,Nantun,0,1,7,3,6,50,3,1,1,5,4,6,6,2,1,12,47,3,10,5,5,1,8,2,6,1,13,120.61403,24.139166,VOQ-9476,P191672052,C03,1693567500
139,2023,9,1,11,26,North,0,1,7,2,6,50,4,1,1,5,4,6,6,1,1,17,40,3,10,1,7,1,10,2,13,1,13,120.673638,24.15573,IOO-7862,W259065659,B03,1693567560
140,2023,9,1,11,26,Wuri,0,0,7,,6,50,,,,,,,,,,,49,,,,,1,,2,,1,12,120.624649,24.106111,WMJ-16,O297988461,B03,1693567560
141,2023,9,1,11,28,Nantun,0,1,7,3,6,50,13,9,1,5,4,6,6,4,4,17,84,2,8,5,1,1,10,2,14,1,12,120.648683,24.137066,LAY-7753,Z158840725,B03,1693567680
142,2023,9,1,11,29,Beitun,0,0,7,,6,50,,,,,,,,,,12,8,,,,,1,,9,,1,6,120.732009,24.171991,AYO-8135,A168374844,B03,1693567740
143,2023,9,1,11,30,Dadu,0,0,7,,6,70,,,,,,,,,,,56,,,,,1,,1,,1,12,120.548336,24.143288,YGR-1629,N242385606,B03,1693567800
